superregion2,iso3,countryname,female,adult,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
SAARC,AFG,Afghanistan,1,1,0,3,97.965965,250.79811,108.83119,9.5529499,57.245487,133.86909,40.556152,67.760956,571.33636,2387.2979,135.20695
SAARC,AFG,Afghanistan,1,1,0,999,74.09108,219.87383,95.466187,7.3432918,44.867947,139.04605,27.768017,66.103149,525.28394,2242.5525,94.948959
SAARC,AFG,Afghanistan,1,1,1,1,76.915413,219.54462,97.679733,7.1320753,48.303288,109.38158,30.228828,66.736046,540.22046,2142.5767,94.073944
SAARC,AFG,Afghanistan,1,1,1,2,96.629723,236.7617,107.86797,8.7728033,58.168636,122.12054,42.454491,68.724518,566.01782,2234.4272,129.59546
SAARC,AFG,Afghanistan,1,1,1,3,114.77782,261.3056,116.62254,10.37753,68.466454,107.38343,52.865894,69.28759,602.20007,2321.1841,160.22112
SAARC,AFG,Afghanistan,1,1,1,999,86.797447,229.52516,102.68976,7.969162,53.43729,111.65727,36.226173,67.535957,555.08276,2188.96,111.55746
SAARC,AFG,Afghanistan,1,1,999,1,68.272964,212.62192,92.098236,6.655427,42.393791,129.79492,24.779516,65.65522,517.82715,2179.999,83.553368
SAARC,AFG,Afghanistan,1,1,999,2,86.022507,228.51718,102.91972,8.4093447,51.2024,145.03383,35.086521,67.648987,542.86353,2278.8945,115.05112
SAARC,AFG,Afghanistan,1,1,999,3,101.9566,253.29227,110.68063,9.7486801,59.909004,127.58219,43.478119,68.123337,578.66248,2371.6045,141.14456
SAARC,AFG,Afghanistan,1,1,999,999,77.107185,222.16476,97.18084,7.4918542,46.90205,132.54477,29.77573,66.443253,532.35724,2229.8311,98.891319
SAARC,AFG,Afghanistan,1,999,0,1,61.197868,160.50323,69.522972,5.4869814,33.965286,181.1256,22.205048,58.15403,474.91119,2084.0205,97.715118
SAARC,AFG,Afghanistan,1,999,0,2,76.809441,172.07755,76.746536,6.8277712,41.216621,201.56784,31.681561,59.907143,497.22513,2187.2163,134.24402
SAARC,AFG,Afghanistan,1,999,0,3,91.158157,190.78073,83.497215,7.9959946,48.22921,176.82527,39.251938,60.438637,531.0304,2268.3455,164.20766
SAARC,AFG,Afghanistan,1,999,0,999,69.019852,167.5549,73.159554,6.1488118,37.652493,184.60753,26.776163,58.864712,488.15625,2133.595,115.45678
SAARC,AFG,Afghanistan,1,999,1,1,71.799576,167.50293,74.522202,5.9048214,40.669193,145.67067,29.170563,59.505066,501.9668,2034.9744,115.00394
SAARC,AFG,Afghanistan,1,999,1,2,90.244148,179.76056,82.80603,7.3446198,48.826286,163.83261,41.008446,61.13586,525.70081,2130.9805,158.17694
